MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiButtonBase-root 3,MuiTypography-root 4,notranslate
https://portalb2b.neosolar.com.br/novo-pedido/produto/22916,https://portal.zydon.com.br/api/files/dcaa3671-f1aa-4b66-854e-064704ec3d2b/content?ingress=portalb2b.neosolar.com.br,Microinversor Deye SUN2250 G4 Monofásico 2250W - 220V - MLPE e Wi-Fi Integrado,Microinversor Deye Sun2250 G4 – Wi-Fi Integrado – Potência Contínua: 2250 W – Tensão: 220 V – Garantia: de 10 anos (já incluídos os 90 dias da garantia legal).,Microinversor Deye Sun2250 G4 – Wi-Fi Integrado – Potência Contínua: 2250 W – Tensão: 220 V – Garantia: de 10 anos (já incluídos os 90 dias da garantia legal).,Indisponível,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/21632,https://portal.zydon.com.br/api/files/fcb4260f-7795-4645-bd76-8cd799dbcfc0/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP2000-21 (T) - 2000W 24/120V,"Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.719,54",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20566,https://portal.zydon.com.br/api/files/2f1e099e-b128-426a-bec9-d1a23e0fa5e7/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal ZTROON ZT1000-11 - 1000W - 12/127V,Inversor Off Grid ZTROON ZT1000-11 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT1000-11 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 663,22",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21642,https://portal.zydon.com.br/api/files/655d16b8-4dc8-46cb-b3bc-f55bb61593f4/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT1000-21 - 1000W - 24/127V,Inversor Off Grid ZTROON ZT1000-21 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 24/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT1000-21 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 24/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 961,96",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22022,https://portal.zydon.com.br/api/files/c05d9e06-c246-4b3f-9c0c-2816c3faebca/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT2000-11 - 2000W - 12/127V,Inversor Off Grid ZTROON ZT2000-11– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 12/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT2000-11– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 12/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 1.194,32",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20564,https://portal.zydon.com.br/api/files/af18f01d-87cf-4b65-8f93-b897d935445e/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal ZTROON ZT600-12 - 600W - 12/ 220V,Inversor Off Grid ZTROON ZT600-12 – Senoidal Pura – Potência Contínua: 600 W – Tensão: 12/220 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT600-12 – Senoidal Pura – Potência Contínua: 600 W – Tensão: 12/220 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 557,00",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22024,https://portal.zydon.com.br/api/files/444e4a3a-e1c9-4fda-a5a3-cf6be65895bd/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT2000-21 - 2000W - 24/127V,Inversor Off Grid ZTROON ZT2000-21– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 24/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT2000-21– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 24/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 1.194,32",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20563,https://portal.zydon.com.br/api/files/f57b881d-643c-4112-b939-1e96d2dc2e61/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal ZTROON ZT600-11 - 600W - 12/ 127V,Inversor Off Grid ZTROON ZT600-11 – Senoidal Pura – Potência Contínua: 600 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT600-11 – Senoidal Pura – Potência Contínua: 600 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 497,24",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22021,https://portal.zydon.com.br/api/files/328c047f-24c9-42c9-a5df-f8748901d8c2/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT1000-22 - 1000W - 24/220V,Inversor Off Grid ZTROON ZT1000-22 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 24/220 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT1000-22 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 24/220 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 796,00",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24973,https://portal.zydon.com.br/api/files/07ed7649-9d69-44cf-acaa-5a8121ae2a31/content?ingress=portalb2b.neosolar.com.br,Inversor Carregador Must PV29-5048 LHP - 5000W - MPPT 80A - 48/110V,P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio,P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio,,"R$ 2.733,51",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20247,https://portal.zydon.com.br/api/files/9222be99-2486-4018-bdb6-bb647763e100/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP2000-41 (T) - 2000W 48/127V,"Inversor Epever Ipower Plus de 48Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.784,46",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24972,https://portal.zydon.com.br/api/files/690c8937-54b5-4b31-b6f2-63c95c09e653/content?ingress=portalb2b.neosolar.com.br,Inversor Carregador Must PV29-5048 HP - 5000W - MPPT 80A - 48/220V,P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio,P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio,,"R$ 2.473,11",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22023,https://portal.zydon.com.br/api/files/dd13bf37-e8d8-4ae5-82fc-d90bc90b3dfe/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT2000-12 - 2000W - 12/220V,Inversor Off Grid ZTROON ZT2000-12– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 12/220 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT2000-12– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 12/220 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 1.167,78",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21630,https://portal.zydon.com.br/api/files/928de452-69eb-4e76-b2ae-25c9deda5453/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP1500-11 (T) - 1500W 12/110V,"Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.459,88",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20922,https://portal.zydon.com.br/api/files/b28c4098-b6f6-4738-a0a8-162f60e632ed/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP1000-41 (T) - 1000W 48/127V,"Inversor Epever Ipower Plus de 48Vcc (43,2~64,0Vcc) para 127Vca com potência contínua de 1000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc (43,2~64,0Vcc) para 127Vca com potência contínua de 1000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.258,66",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21631,https://portal.zydon.com.br/api/files/1e66c0fa-4fcc-4def-b0c0-e4eaa6f6018b/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid  Senoidal Epever IPower Plus IP1500-12 (T) - 1500W 12/220V,"Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.459,88",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20250,https://portal.zydon.com.br/api/files/7c98c541-5c5f-4b2d-9457-89f66f50db58/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP3000-41 (T) - 3000W 48/127V,"Inversor Epever Ipower Plus (T) de 48Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de lítio solar. Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus (T) de 48Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de lítio solar. Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",,"R$ 2.050,59",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21634,https://portal.zydon.com.br/api/files/ecedd78a-6bf2-404e-84a6-d74c30d3e063/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-21 (T) - 3000W 24/127V,"Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 2.141,47",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21639,https://portal.zydon.com.br/api/files/80a664dc-24f7-4e04-a23a-fbfc95ea18c5/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP4000-41 (T) - 4000W 48/110V,"Inversor Epever Ipower Plus de 48Vcc para 110Vca com potência contínua de 4000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 110Vca com potência contínua de 4000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 2.588,48",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20778,https://portal.zydon.com.br/api/files/a6cbb7f2-1583-4592-a15f-b17a62e3c079/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP3000-11 (T) - 3000W 12/110V,"Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 2.530,96",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22920,https://portal.zydon.com.br/api/files/2bfc7d9e-a497-4a07-b9c4-872e0a43846b/content?ingress=portalb2b.neosolar.com.br,Inversor Híbrido On + Off Grid Deye SUN5K (US) - 5000W - 48/120-240V,"Inversor Solar On Grid Híbrido Deye de 5000W (US) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação. 
*Este modelo US funciona com padrão de rede 120/240V FFN-Fase/Fase/Neutro (sistema Delta)","Inversor Solar On Grid Híbrido Deye de 5000W (US) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação. 
*Este modelo US funciona com padrão de rede 120/240V FFN-Fase/Fase/Neutro (sistema Delta)",,"R$ 9.796,42",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22095,https://portal.zydon.com.br/api/files/31f69bfe-cac5-4020-8b4f-b85d48127385/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP3000-22 (T) - 3000W 24/220V,"Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.>","Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.>",,"R$ 2.141,47",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21633,https://portal.zydon.com.br/api/files/bc3ce850-8a27-474d-bc1e-99ae2ed8dcda/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP2000-22 (T) - 2000W 24/220V,"Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.557,26",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/20924,https://portal.zydon.com.br/api/files/76125e2f-542b-4fdf-93dc-6386bccb2eea/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP3000-42 (T) - 3000W 48/220V,"Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.946,74",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24127,https://portal.zydon.com.br/api/files/2f5da94b-3b65-41f7-b161-72a40737f5f0/content?ingress=portalb2b.neosolar.com.br,Inversor Carregador Epever HP5542 - 5500W - MPPT 100A - 48/220V,P. Surto: 8.500W | Faixa MPPT: 85 ~ 400V | Paralelismo: Máx. 16 un | Compatível c/ Lítio,P. Surto: 8.500W | Faixa MPPT: 85 ~ 400V | Paralelismo: Máx. 16 un | Compatível c/ Lítio,,"R$ 4.869,18",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24874,https://portal.zydon.com.br/api/files/a840b7c3-fd5a-457a-89dc-d847dff4a098/content?ingress=portalb2b.neosolar.com.br,"Inversor On Grid Livoltek 7,5kW 220V Monofásico - GT1-7K5T2","3 MPPTS (16A + 16A + 16A) | PVmax: 11,25kW | Tensão Máxima: 600V | Com AFCI | Garantia: 10 anos","3 MPPTS (16A + 16A + 16A) | PVmax: 11,25kW | Tensão Máxima: 600V | Com AFCI | Garantia: 10 anos",,"R$ 2.221,82",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22921,https://portal.zydon.com.br/api/files/27c60e01-7ec9-46dc-b1a6-a793b43d0b3e/content?ingress=portalb2b.neosolar.com.br,Inversor Híbrido On + Off Grid Deye SUN8K (EU) - 8000W - 48/220-230V,"Inversor Solar On Grid Híbrido Deye de 8000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Solar On Grid Híbrido Deye de 8000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 8.775,88",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21641,https://portal.zydon.com.br/api/files/1a30e003-a302-4879-a469-b8d502d033ae/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-12 (T) - 3000W 12/220V,"Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 12Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 2.336,22",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/21640,https://portal.zydon.com.br/api/files/2c2d37bd-0e9c-4aaa-b9c4-1daaab9dc7d8/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP5000-42 (T) - 5000W 48/220V,"Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 5000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 5000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 2.522,09",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24878,https://portal.zydon.com.br/api/files/205c695c-e31a-4084-837b-c380cdbb10fa/content?ingress=portalb2b.neosolar.com.br,Inversor Híbrido On + Off Grid Deye SUN5K (EU) - 5000W - 48/230V,"Inversor Solar On Grid Híbrido Deye de 5.000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Solar On Grid Híbrido Deye de 5.000W (EU) para sistemas conectados à rede e entrada para bateria 48Vcc. Possui função 2 em 1 (Inversor + carregador de bateria), opera em sistemas Off Grid e pode ser paralelável para maiores potências. Garantia de 10 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 5.714,97",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22025,https://portal.zydon.com.br/api/files/cc653ee3-63c4-41f1-8ab3-06b30d0e38b2/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal  ZTROON ZT2000-22 - 2000W - 24/220V,Inversor Off Grid ZTROON ZT2000-22– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 24/220 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,Inversor Off Grid ZTROON ZT2000-22– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 24/220 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).,,"R$ 1.167,78",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/22734,https://portal.zydon.com.br/api/files/27950f28-da8d-4fa4-8ead-56b2cab841aa/content?ingress=portalb2b.neosolar.com.br,Inversor Senoidal Epever IPower Plus IP1000-42 (T) - 1000W 48/220V,"Inversor Epever Ipower Plus de 48Vcc (43,2~ 64,0Vcc) para 220Vca com potência contínua de 1000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc (43,2~ 64,0Vcc) para 220Vca com potência contínua de 1000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS, além baterias de chumbo-ácido em geral. Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",,"R$ 1.297,61",​
https://portalb2b.neosolar.com.br/novo-pedido/produto/24876,https://portal.zydon.com.br/api/files/4e00159c-79d1-49f2-93ff-6d82643a20bf/content?ingress=portalb2b.neosolar.com.br,Inversor On Grid Livoltek 6kW 220V Monofásico - GT1-6KD2,2 MPPTS (16A + 16A) | PVmax: 9kW | Tensão Máxima: 600V | Com AFCI | Garantia: 10 anos,2 MPPTS (16A + 16A) | PVmax: 9kW | Tensão Máxima: 600V | Com AFCI | Garantia: 10 anos,,"R$ 1.851,39",​
