MuiStack-root href,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/23798,"Bateria Solar Lítio 2,68kWh - ZTS25.6-105P - 105Ah","Bateria Solar de Lítio com tensão de 25,6V e capacidade de 2,68kWh, ideal para sistemas de energia solar fotovoltaica. Atinge até 6000 ciclos e tem garantia de 3 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 2.974,56",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24970,"Bateria Solar de Lítio - EPEVER - LFP2.56kWh - 25,6V / 6000 ciclos","Bateria Solar de Lítio (LFP) com tensão de 25,6V, capacidade de 2560 Wh e garantia de 05 anos (incluindo os 90 dias da garantia legal).","R$ 3.409,61",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24732,"Bateria Solar Lítio 4,8kWh - ZTROON ZTS48100S - 100Ah 48V/ 6000 ciclos","Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 4,8Wh, ideal para sistemas de energia solar fotovoltaica. Atinge até 6000 ciclos e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 3.802,48",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23797,"Bateria de Lítio ZTROON - 12.8V 105Ah 1,34KWh ZTS12.8-105P","6000 ciclos | 1.340Wh | LFP | Solar (GD ou Off Grid), Telecom, Nobreak, etc","R$ 1.982,83",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24969,"Bateria de Lítio EPEVER 12,8V 100Ah 1280Wh (LFP1.28KHWH)","6000 ciclos | 1280Wh | LFP | Solar (GD ou Off Grid), Telecom, Nobreak, etc","R$ 2.116,91",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24971,Bateria Solar de Lítio - EPEVER - LFP4.8kWh - 48V 6000 ciclos,"Bateria Solar de Lítio (LFP) com tensão de 48V, capacidade de 4800 Wh e garantia de 05 anos (incluindo os 90 dias da garantia legal).","R$ 4.269,54",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23710,"Bateria Solar Lítio 7,2KWh  - ZTROON ZTS48150P - 150Ah 48V/6000 ciclos","Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 7,2Wh, ideal para sistemas de energia solar fotovoltaica. Atinge até 6000 ciclos e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 5.887,72",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23799,"Bateria Solar Lítio 5,37KWh  - ZTROON ZTS51.2-105PW - 105Ah","Bateria Solar de Lítio com tensão de 51,2V e capacidade de 5,37Wh, ideal para sistemas de energia solar fotovoltaica. Atinge até 6000 ciclos e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 6.541,98",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20027,Bateria Solar Estacionária Moura 12MS234 (220Ah) / 1800 Ciclos,"Bateria Solar do tipo chumbo-carbono com tensão de 12V e capacidade de 244,8Ah (C120) ou 220Ah (C20), ideal para sistemas de energia solar fotovoltaica. Suporta 3 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 1.420,37",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20414,Bateria Solar Estacionária Heliar Freedom DF4100 (240Ah / 220Ah) / 1500 Ciclos,"A Bateria Estacionária Heliar Freedom DF4100, possui capacidade de 240Ah para descarga em 100h (C100) e 220Ah em 20h a (C20). A linha de baterias estacionárias Heliar Freedom possuem vida útil projetada de 4 anos e garantia de 2 anos contra defeitos de fabricação. Não necessita de nenhuma manutenção nem reposição de água.","R$ 1.545,31",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20024,Bateria Solar Estacionária Heliar Freedom DF700 (50Ah / 45Ah) / 1500 Ciclos,"A Bateria Estacionária Heliar Freedom DF700, possui capacidade de 50Ah para descarga em 100h (C100) e 45Ah em 20h a (C20) A linha de baterias estacionárias Heliar Freedom possuem vida útil projetada superior a 4 anos e garantia de 2 anos contra defeitos de fabricação. Não necessita de nenhuma manutenção nem reposição de água.","R$ 481,57",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20409,Bateria Estacionária Heliar Freedom DF1000 (70Ah / 60Ah),"A Bateria Estacionária Heliar Freedom DF1000, possui capacidade de 70Ah para descarga em 100h (C100) e 60Ah em 20h a (C20). A linha de baterias estacionárias Heliar Freedom possuem vida útil projetada de 4 anos e garantia de 2 anos contra defeitos de fabricação. Não necessita de nenhuma manutenção nem reposição de água.","R$ 524,56",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20411,Bateria Solar Estacionária Heliar Freedom DF2500 (165Ah / 150Ah) / 1500 Ciclos,"A Bateria Estacionária Heliar Freedom DF2500, possui capacidade de 165Ah para descarga em 100h (C100) e 150Ah em 20h a (C20). A linha de baterias estacionárias Heliar Freedom possuem vida útil projetada de 4 anos e garantia de 2 anos contra defeitos de fabricação. Não necessita de nenhuma manutenção nem reposição de água.","R$ 1.221,69",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20406,Bateria Solar de Lítio 5kWh - Unipower UPLFP48-100 6000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 5.000 Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 5.284,01",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23521,"Bateria Solar Lítio 5,04kWh  - ZTROON ZTS48105P - 105Ah 48V/ 6000 ciclos","Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 5,04Wh, ideal para sistemas de energia solar fotovoltaica. Atinge até 6000 ciclos e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 3.814,70",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/24167,Bateria Estacionária de Chumbo-Ácido Unipower 12V (240Ah) UPMF12240,12V | 240Ah (C100) | 3000 ciclos (DoD 20~30%) | Garantia: 2 anos,"R$ 1.109,86",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/24168,Bateria Estacionária de Chumbo-Ácido Unipower 12V (165Ah) UPMF12165,12V | 165Ah (C100) | 3000 ciclos (DoD 20~30%) | Garantia: 2 anos,"R$ 952,69",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/24169,Bateria Estacionária de Chumbo-Ácido Unipower 12V (115Ah) UPMF12115,12V | 115Ah (C100) | 3000 ciclos (DoD 20~30%) | Garantia: 2 anos,"R$ 582,11",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20025,Bateria Estacionária Fulguris FGCL150 (150Ah),"Bateria Solar do tipo chumbo-ácido com tensão de 12V e capacidade de 165Ah (C100) ou 150Ah (C20), ideal para sistemas de energia solar fotovoltaica. Homologada pela Anatel, não necessita de reposição de água e tem garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 779,27",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20400,Bateria Solar de Lítio 128Wh - Unipower UPLFP12-10 4000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 12,8V e capacidade de 128Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 397,17",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20401,Bateria Solar de Lítio 371Wh - Unipower UPLFP12-30 4000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 12V e capacidade de 371Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 952,69",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20402,Bateria Solar de Lítio 250Wh - Unipower UPLFP24-10 4000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 25,6V e capacidade de 250Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 745,40",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20403,Bateria Solar de Lítio 755Wh - Unipower UPLFP24-30 4000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 25,6V e capacidade de 755 Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 2.996,19",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20408,Bateria Solar de Lítio Unipower UPLFP48-20 - 860Wh / 4000 Ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 860 Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 3.119,36",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/22149,"Bateria Solar de Lítio - EPEVER - LFP2.56kWh - 25,6V / 6000 ciclos","Bateria Solar de Lítio (LFP) com tensão de 25,6V, capacidade de 2560 Wh e garantia de 05 anos (incluindo os 90 dias da garantia legal).","R$ 3.511,90",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/24111,"Bateria de Lítio ZTROON - 48V 150Ah 7,2kWh (ZTS48150S)","6000 ciclos | 7200Wh | LFP | Solar (GD ou Off Grid), Telecom, Nobreak, etc","R$ 5.887,72",,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/23693,Bateria Solar de Lítio 4.8kWh - Unipower UPLFP48-100 6000 ciclos,"Bateria Solar de Lítio (LiFePo4) com tensão de 48V e capacidade de 4.800 Wh (C5), ideal para sistemas de energia solar fotovoltaica. Suporta 9 vezes mais ciclos que outras baterias comuns no mercado e tem garantia de 5 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","R$ 4.970,11",,Indisponível